Batch 867: Elapsed time: 0:04:39, cells: 8313, cells/sec: 29.80, nnz: 6.56M, nnz/sec: 23520.20, nnz/cell: 789.4, max_nnz_active: 1249.79M, max_cells_active: 511983 
Batch 94: Elapsed time: 0:04:39, cells: 10156, cells/sec: 36.40, nnz: 5.25M, nnz/sec: 18802.03, nnz/cell: 516.5, max_nnz_active: 934.00M, max_cells_active: 511952 
Batch 856: Elapsed time: 0:04:41, cells: 11107, cells/sec: 39.53, nnz: 18.25M, nnz/sec: 64960.28, nnz/cell: 1643.5, max_nnz_active: 1225.07M, max_cells_active: 512000 
Batch 164: Elapsed time: 0:04:43, cells: 14939, cells/sec: 52.79, nnz: 26.44M, nnz/sec: 93426.51, nnz/cell: 1769.8, max_nnz_active: 1485.78M, max_cells_active: 511978 
Batch 403: Elapsed time: 0:04:47, cells: 12978, cells/sec: 45.22, nnz: 21.90M, nnz/sec: 76289.74, nnz/cell: 1687.1, max_nnz_active: 1162.68M, max_cells_active: 511654 
Batch 832: Elapsed time: 0:04:48, cells: 9625, cells/sec: 33.42, nnz: 13.40M, nnz/sec: 46534.85, nnz/cell: 1392.4, max_nnz_active: 878.38M, max_cells_active: 511999 
Batch 482: Elapsed time: 0:04:48, cells: 8961, cells/sec: 31.11, nnz: 8.62M, nnz/sec: 29940.02, nnz/cell: 962.3, max_nnz_active: 1296.05M, max_cells_active: 511987 
Batch 67: Elapsed time: 0:04:49, cells: 12334, cells/sec: 42.68, nnz: 5.66M, nnz/sec: 19577.66, nnz/cell: 458.7, max_nnz_active: 1277.63M, max_cells_active: 510652 
Batch 809: Elapsed time: 0:04:50, cells: 9249, cells/sec: 31.89, nnz: 3.86M, nnz/sec: 13301.82, nnz/cell: 417.1, max_nnz_active: 1199.69M, max_cells_active: 511998 
Batch 58: Elapsed time: 0:04:53, cells: 12248, cells/sec: 41.80, nnz: 19.38M, nnz/sec: 66145.45, nnz/cell: 1582.3, max_nnz_active: 1503.56M, max_cells_active: 511844 
Batch 477: Elapsed time: 0:04:54, cells: 15440, cells/sec: 52.52, nnz: 34.19M, nnz/sec: 116287.79, nnz/cell: 2214.3, max_nnz_active: 943.13M, max_cells_active: 511997 
Batch 855: Elapsed time: 0:04:56, cells: 12458, cells/sec: 42.09, nnz: 22.97M, nnz/sec: 77601.92, nnz/cell: 1843.8, max_nnz_active: 1242.77M, max_cells_active: 511993 
Batch 122: Elapsed time: 0:04:57, cells: 14628, cells/sec: 49.25, nnz: 26.93M, nnz/sec: 90657.97, nnz/cell: 1840.7, max_nnz_active: 1264.27M, max_cells_active: 511584 
Batch 625: Elapsed time: 0:04:57, cells: 10019, cells/sec: 33.73, nnz: 27.01M, nnz/sec: 90958.08, nnz/cell: 2696.3, max_nnz_active: 1500.36M, max_cells_active: 511674 
Batch 833: Elapsed time: 0:05:01, cells: 8403, cells/sec: 27.92, nnz: 9.00M, nnz/sec: 29914.22, nnz/cell: 1071.5, max_nnz_active: 1307.79M, max_cells_active: 511801 
Batch 458: Elapsed time: 0:05:02, cells: 9240, cells/sec: 30.60, nnz: 15.95M, nnz/sec: 52813.31, nnz/cell: 1726.1, max_nnz_active: 846.45M, max_cells_active: 512000 
Batch 446: Elapsed time: 0:05:03, cells: 13533, cells/sec: 44.66, nnz: 23.55M, nnz/sec: 77709.41, nnz/cell: 1739.9, max_nnz_active: 1036.20M, max_cells_active: 511946 
Batch 83: Elapsed time: 0:05:04, cells: 13122, cells/sec: 43.16, nnz: 9.90M, nnz/sec: 32567.98, nnz/cell: 754.5, max_nnz_active: 829.27M, max_cells_active: 510832 
Batch 236: Elapsed time: 0:05:06, cells: 11674, cells/sec: 38.15, nnz: 7.06M, nnz/sec: 23073.76, nnz/cell: 604.8, max_nnz_active: 1264.27M, max_cells_active: 511983 
Batch 859: Elapsed time: 0:05:07, cells: 14529, cells/sec: 47.33, nnz: 29.04M, nnz/sec: 94583.26, nnz/cell: 1998.6, max_nnz_active: 1264.27M, max_cells_active: 511987 
Batch 902: Elapsed time: 0:05:08, cells: 20951, cells/sec: 68.02, nnz: 11.66M, nnz/sec: 37848.36, nnz/cell: 556.4, max_nnz_active: 1113.59M, max_cells_active: 512000 
